iter	Passed	Remaining
587	5720	4008
588	5728	3997
589	5737	3987
590	5747	3977
591	5752	3964
592	5758	3952
593	5764	3940
594	5774	3930
595	5780	3918
596	5792	3910
597	5798	3897
598	5807	3887
599	5813	3875
600	5828	3869
601	5835	3858
602	5843	3847
603	5848	3834
604	5857	3824
605	5863	3812
606	5870	3800
607	5876	3789
608	5881	3775
609	5886	3763
610	5892	3751
611	5898	3739
612	5904	3727
613	5908	3714
614	5923	3708
615	5938	3701
616	5955	3696
617	5969	3689
618	5973	3676
619	5983	3667
620	5989	3655
621	5996	3644
622	6003	3633
623	6008	3620
624	6015	3609
625	6020	3596
626	6025	3584
627	6032	3573
628	6037	3560
629	6046	3551
630	6052	3539
631	6060	3528
632	6066	3517
633	6071	3504
634	6077	3493
635	6083	3481
636	6090	3470
637	6096	3459
638	6101	3447
639	6110	3436
640	6116	3425
641	6124	3415
642	6130	3403
643	6139	3393
644	6145	3382
645	6153	3372
646	6161	3361
647	6168	3351
648	6176	3340
649	6181	3328
650	6187	3317
651	6193	3305
652	6203	3296
653	6208	3284
654	6216	3274
655	6223	3263
656	6228	3251
657	6236	3241
658	6241	3229
659	6249	3219
660	6256	3208
661	6270	3201
662	6279	3192
663	6286	3181
664	6297	3172
665	6309	3163
666	6317	3154
667	6326	3144
668	6334	3134
669	6343	3124
670	6349	3113
671	6354	3101
672	6364	3092
673	6371	3081
674	6380	3072
675	6396	3065
676	6412	3059
677	6418	3048
678	6427	3038
679	6440	3030
680	6447	3020
681	6456	3010
682	6462	2999
683	6470	2989
684	6476	2978
685	6481	2966
686	6488	2956
687	6493	2944
688	6498	2933
689	6506	2923
690	6515	2913
691	6526	2904
692	6535	2895
693	6541	2884
694	6555	2877
695	6563	2867
696	6571	2856
697	6579	2846
698	6586	2836
699	6595	2826
700	6603	2816
701	6612	2806
702	6621	2797
703	6628	2787
704	6635	2776
705	6643	2766
706	6649	2755
707	6658	2745
708	6665	2735
709	6709	2740
710	6716	2730
711	6725	2720
712	6731	2709
713	6766	2710
714	6774	2700
715	6782	2690
716	6792	2680
717	6825	2680
718	6836	2671
719	6866	2670
720	6877	2661
721	6886	2651
722	6911	2647
723	6918	2637
724	6927	2627
725	6937	2618
726	6945	2608
727	6954	2598
728	6961	2587
729	6972	2578
730	6983	2569
731	6990	2559
732	6996	2548
733	7004	2538
734	7012	2528
735734	6874	24736735	6880	24737736	6890	24738737	6904	24739738	6913	24740739	6923	24741740	6934	2423
741	6942	2413
742	6952	2404
