SMILES,pIC50,weight,logp,h_bond_donor,h_bond_acceptors,rotatable_bonds,atoms,heavy_atoms,molar_refractivity,topological_polar_surface_area,formal_charge,rings
O=C(Nc1ccccc1)Nc1ccc(Cl)cc1[N+](=O)[O-],6.045757490560675,291.04106885999994,3.8922000000000017,2.0,3.0,3.0,20.0,20.0,77.18980000000002,84.27,0.0,2.0
O=S(=O)(Nc1ccc(N2CCCCC2)cc1)c1cc(Cl)sc1Cl,6.154901959985743,390.003025112,4.846000000000004,1.0,4.0,4.0,23.0,23.0,97.65350000000002,49.410000000000004,0.0,3.0
Cc1nc2sc3c(c2c(=O)o1)CCCC3,5.920818753952375,221.051049592,2.43672,0.0,4.0,0.0,15.0,15.0,59.53500000000002,43.1,0.0,3.0
Cn1ncc2cc(-c3nc4ccc(F)nc4o3)ccc21,7.312471038785365,268.07603912800005,2.9156000000000013,0.0,5.0,1.0,20.0,20.0,71.47000000000003,56.74,0.0,4.0
Fc1ccc2nc(-c3ccc4cc[nH]c4c3)oc2n1,7.343901797987168,253.065140096,3.510200000000001,1.0,3.0,1.0,19.0,19.0,69.05470000000001,54.71,0.0,4.0
Fc1ccc2nc(-c3ccc4ncsc4c3)oc2n1,7.446116973356125,271.021561032,3.638600000000001,0.0,5.0,1.0,19.0,19.0,70.376,51.81,0.0,4.0
Cn1ncc2cc(-c3nc4ccc(F)nc4o3)cnc21,7.519993057042849,269.071288096,2.3106,0.0,6.0,1.0,20.0,20.0,69.26500000000001,69.63,0.0,4.0
CN1CCc2cc(-c3nc4ccc(F)nc4o3)cnc21,7.327902142064283,270.09168919200005,2.416200000000001,0.0,5.0,1.0,20.0,20.0,71.96700000000003,55.050000000000004,0.0,4.0
Cn1ccc2cc(-c3nc4ccc(F)nc4o3)cnc21,7.978810700930062,268.07603912800005,2.9156000000000013,0.0,5.0,1.0,20.0,20.0,71.47000000000001,56.74,0.0,4.0
Fc1ccc2nc(-c3cnc4[nH]ccc4c3)oc2n1,7.590066876668706,254.060389064,2.9052000000000007,1.0,4.0,1.0,19.0,19.0,66.84970000000001,67.6,0.0,4.0
Cn1ccc2cc(-c3nc4ccc(F)nc4o3)ccc21,8.096910013008056,267.08079016,3.5206000000000017,0.0,4.0,1.0,20.0,20.0,73.67500000000003,43.85,0.0,4.0
Fc1ccc2nc(-c3ccc4[nH]ccc4c3)oc2n1,7.860120913598763,253.065140096,3.510200000000001,1.0,3.0,1.0,19.0,19.0,69.05470000000001,54.71,0.0,4.0
CN(C)c1ccc(-c2nc3ccc(F)nc3o2)cn1,7.378823718224964,258.091689192,2.4899000000000004,0.0,5.0,2.0,19.0,19.0,69.32000000000001,55.050000000000004,0.0,3.0
CNc1ccc(-c2nc3ccc(F)nc3o2)cn1,6.991399828238082,244.076039128,2.4656000000000002,1.0,5.0,2.0,18.0,18.0,64.5397,63.84,0.0,3.0
CN(C)c1ccc(-c2nc3ccc(F)nc3o2)cc1,8.397940008672037,257.096440224,3.0949000000000018,0.0,4.0,2.0,19.0,19.0,71.52500000000002,42.160000000000004,0.0,3.0
CNc1ccc(-c2nc3ccc(F)nc3o2)cc1,7.636388020107856,243.08079016,3.0706000000000007,1.0,4.0,2.0,18.0,18.0,66.74470000000001,50.95,0.0,3.0
COc1ccc(-c2nc3ccc(F)nc3o2)cc1,7.488116639021126,244.064805748,3.0375000000000014,0.0,4.0,2.0,18.0,18.0,63.750000000000014,48.150000000000006,0.0,3.0
Oc1ccc(-c2ccc(O)c(O)c2)cc1O,6.0,218.0579088,2.1760000000000006,4.0,4.0,1.0,16.0,16.0,58.53720000000003,80.92,0.0,2.0
Oc1ccc(-c2ccccc2-c2ccc(O)c(O)c2)cc1O,5.568636235841013,294.08920892799995,3.843000000000002,4.0,4.0,2.0,22.0,22.0,83.9732,80.92,0.0,3.0
Oc1ccc(-c2cccc(-c3ccc(O)c(O)c3)c2)cc1O,5.431798275933005,294.08920892799995,3.843000000000002,4.0,4.0,2.0,22.0,22.0,83.97320000000002,80.92,0.0,3.0
COc1ccc2cc(C(=O)CN3CCN(c4ccccc4)CC3)c(=O)oc2c1,5.187086643357144,378.15795718399994,2.8065000000000007,0.0,6.0,5.0,28.0,28.0,108.46150000000006,62.99,0.0,4.0
COc1ccc2cc(C(=O)CN3CCN(c4ncccn4)CC3)c(=O)oc2c1,5.3979400086720375,380.14845511999994,1.5965000000000003,0.0,8.0,5.0,28.0,28.0,104.05150000000006,88.77,0.0,4.0
COc1ccc2cc(C(=O)CN3CCOCC3)c(=O)oc2c1,5.301029995663981,303.11067264400003,1.3165,0.0,6.0,4.0,22.0,22.0,80.62550000000003,68.97999999999999,0.0,3.0
COc1ccc2cc(C(=O)CN3CCC(c4ccccc4)CC3)c(=O)oc2c1,4.853871964321762,377.162708216,3.8639000000000028,0.0,5.0,5.0,28.0,28.0,108.22350000000007,59.75,0.0,4.0
COc1ccc2cc(C(=O)CN3CCN(c4ccccc4)CC3)c(=O)oc2c1,4.6777807052660805,378.15795718399994,2.8065000000000007,0.0,6.0,5.0,28.0,28.0,108.46150000000006,62.99,0.0,4.0
COc1ccc2cc(C(=O)CN3CCC(c4ccccc4)CC3)c(=O)oc2c1,4.537602002101044,377.162708216,3.8639000000000028,0.0,5.0,5.0,28.0,28.0,108.22350000000007,59.75,0.0,4.0
COc1ccc2cc(C(=O)CN3CCN(c4ncccn4)CC3)c(=O)oc2c1,6.0,380.14845511999994,1.5965000000000003,0.0,8.0,5.0,28.0,28.0,104.05150000000006,88.77,0.0,4.0
